,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.00562016,0.0,3.15861984256e-05,0.0,0.15557,0.0,0.0242020249,0.0,-0.118089,0.0,0.013945011921,0.0,-0.00313672,0.0,9.8390123584e-06,0.0,0.000975925,0.0,9.524296056250004e-07,0.0,0.0008460829999999,0.0,7.158564428889996e-07,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,1.7244e-05,0.005637404,2.97355536e-10,3.178032385921599e-05,0.136849,-0.018721,0.018727648801,0.000350475841,-0.122212,-0.0041229999999999,0.0149357729439999,1.6999128999999438e-05,-0.00379381,-0.0006570899999999,1.4392994316099997e-05,4.317672680999999e-07,0.000888777,-8.714800000000022e-05,7.899245557289998e-07,7.594773904000037e-09,0.00100821,0.000162127,1.0164874041e-06,2.6285164129000093e-08,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.000399431,-0.000416675,1.5954512376099998e-07,1.7361805562500004e-07,0.0777118999999999,-0.0591371,0.0060391394016099,0.00349719659641,-0.0958777,0.0263342999999999,0.00919253335729,0.0006934953564899,-0.00396162,-0.00016781,1.56944330244e-05,2.816019610000001e-08,0.000685828,-0.000202949,4.7036004558400004e-07,4.118829660100001e-08,0.000870152,-0.000138058,7.57164503104e-07,1.906001136400001e-08,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.000167411,0.000566842,2.8026442921e-08,3.2130985296400005e-07,0.0674603,-0.0102515999999999,0.00455089207609,0.0001050953025599,-0.069943,0.0259346999999999,0.004892023249,0.0006726086640899,-0.00354534,0.0004162799999999,1.25694357156e-05,1.732890383999998e-07,0.000335523,-0.000350305,1.12575683529e-07,1.22713593025e-07,0.000631167,-0.000238985,3.98371781889e-07,5.7113830225000025e-08,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0206922,-0.020859611,0.00042816714084,0.0004351233710713,-0.00795991,-0.07542021,6.33601672081e-05,0.0056882080764441,-0.0493454,0.0205976,0.00243496850116,0.00042426112576,-0.00189282,0.00165252,3.5827675524e-06,2.730822350400001e-06,4.49837e-05,-0.0002905393,2.02353326569e-09,8.441308484449001e-08,0.00111627,0.000485103,1.2460587128999998e-06,2.35324920609e-07,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0303286,-0.0096364,0.00091982397796,9.286020496e-05,-0.0377331,-0.02977319,0.0014237868356099,0.000886442842776,-0.048119,0.0012263999999999,0.0023154381609999,1.504056959999989e-06,-0.00117972,0.0007130999999999,1.3917392784e-06,5.0851161e-07,-0.000108674,-0.0001536577,1.1810038276e-08,2.361068876929e-08,0.000985725,-0.0001305449999999,9.71653775625e-07,1.7041997024999983e-08,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.030123,0.0002056,0.000907395129,4.2271360000000097e-08,-0.0486212,-0.0108880999999999,0.00236402108944,0.0001185507216099,-0.0349749,0.0131441,0.00122324363001,0.0001727673648099,-0.000696589,0.000483131,4.85236234921e-07,2.334155631610001e-07,-4.52757e-05,6.33983e-05,2.04988901049e-09,4.0193444428900006e-09,0.000657923,-0.000327802,4.32862673929e-07,1.0745415120399997e-07,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0208076,0.0093154,0.00043295621776,8.677667716000003e-05,-0.0456052,0.0030159999999999,0.00207983426704,9.096255999999987e-06,-0.0585324,-0.0235575,0.00342604184976,0.00055495580625,2.5537e-05,0.0007221259999999,6.52138369e-10,5.21465959876e-07,0.000243626,0.0002889017,5.935362787599999e-08,8.346419226288998e-08,0.00115489,0.000496967,1.3337709121000015e-06,2.469761990890006e-07,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.0181231,0.0026845,0.00032844675361,7.206540249999997e-06,-0.0490181,-0.0034128999999999,0.00240277412761,1.1647886409999977e-05,-0.0660722,-0.0075397999999999,0.00436553561284,5.684858403999988e-05,-0.000628253,-0.00065379,3.947018320090001e-07,4.274413641e-07,0.000243626,0.0,5.935362787599999e-08,0.0,0.000673717,-0.000481173,4.53894596089e-07,2.3152745592900066e-07,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.0211898,-0.0030666999999999,0.0004490076240399,9.404648889999992e-06,-0.0142981,0.0347199999999999,0.00020443566361,0.0012054783999999,-0.0553684,0.0107038,0.00306565971856,0.0001145713344399,-0.000508984,0.000119269,2.59064712256e-07,1.4225094361000021e-08,0.000349559,0.0001059329999999,1.22191494481e-07,1.1221800489e-08,0.00019037,-0.000483347,3.62407369e-08,2.3362432240900005e-07,1
