,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0140661,0.0,0.0,0.00019785516921,-0.0371238,0.0,0.00137817652644,0.0,0.000319077,0.0,1.0181013192900003e-07,0.0,-0.000236536,0.0,0.0,5.5949279295999984e-08,-0.0,0.0,0.0,0.0,0.000113282,0.0,0.0,1.2832811524e-08,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0104395,0.0036266,1.3152227560000003e-05,0.0001089831602499,-0.00521743,0.03190637,2.72215758049e-05,0.0010180164465769,0.0221897,0.021870623,0.00049238278609,0.0004783241504081,-0.000124327,0.0001122089999999,1.259085968099999e-08,1.5457202929e-08,-0.0,0.0,0.0,0.0,9.89588e-05,-1.4323200000000004e-05,2.0515405824000016e-10,9.79284409744e-09,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.00845851,0.0019809899999999,3.924321380099994e-06,7.154639142010001e-05,0.0320721,0.03728953,0.00102861959841,0.0013905090476209,0.03012,0.0079302999999999,0.0009072144,6.288965808999992e-05,0.0,0.000124327,1.5457202929e-08,0.0,-0.0,0.0,0.0,0.0,0.000178693,7.97342e-05,6.357542649640001e-09,3.1931188249e-08,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.00720916,0.00124935,1.5608754225000016e-06,5.19719879056e-05,-0.00943903,-0.04151113,8.909528734089999e-05,0.0017231739138769,0.011354,-0.018766,0.000128913316,0.0003521627559999,-0.000168414,-0.000168414,2.8363275396e-08,2.8363275396e-08,-5.12198e-05,-5.12198e-05,2.6234679120399997e-09,2.6234679120399997e-09,0.000182497,3.803999999999992e-06,1.4470415999999946e-11,3.3305155009e-08,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-7.14704e-06,0.0072020129599999,5.186899067600797e-05,5.10801807616e-11,-0.0280538,-0.01861477,0.00078701569444,0.0003465096621529,0.0162337,0.0048796999999999,0.00026353301569,2.3811472089999992e-05,-0.000176877,-8.463000000000004e-06,7.162236900000006e-11,3.1285473129e-08,5.05449e-05,0.0001017647,1.0356054166089998e-08,2.55478691601e-09,0.0,-0.000182497,3.3305155009e-08,0.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0101658,-0.01015865296,0.0001031982299617,0.0001033434896399,-0.0451886999999999,-0.0171348999999999,0.0020420186076899,0.0002936047980099,0.0227799,0.0065462,0.00051892384401,4.285273444000003e-05,-0.000278085,-0.000101208,1.0243059264e-08,7.7331267225e-08,-0.0,-5.05449e-05,2.55478691601e-09,0.0,0.0,0.0,0.0,0.0,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0088799099999999,0.00128589,1.6535130921000034e-06,7.885280160809996e-05,-0.0524641,-0.0072754,0.0027524817888099,5.293144516000012e-05,0.031997,0.0092171,0.001023808009,8.495493241000004e-05,-0.000248335,2.9749999999999988e-05,8.850624999999993e-10,6.167027222500001e-08,-0.0,0.0,0.0,0.0,-5.47946e-05,-5.47946e-05,3.0024481891600003e-09,3.0024481891600003e-09,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-3.5133400000000005e-05,0.0088447765999999,7.823007310390752e-05,1.2343557955600003e-09,-0.016988,0.0354761,0.000288592144,0.0012585536712099,0.0408185,0.0088214999999999,0.00166614994225,7.781886224999994e-05,-0.000173424,7.491100000000003e-05,5.611657921000002e-09,3.007588377600001e-08,-0.0,0.0,0.0,0.0,-0.000103837,-4.90424e-05,2.40515699776e-09,1.0782122569e-08,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,1.0397500000000003e-05,4.5530900000000015e-05,2.0730628548100006e-09,1.0810800625000005e-10,0.0220857,0.0390736999999999,0.0004877781444899,0.00152675403169,0.0408195,1.000000000001e-06,0.00166623158025,1.0000000000020005e-12,-6.5583e-05,0.000107841,1.1629681281000002e-08,4.301129889e-09,-6.20675e-05,-6.20675e-05,3.85237455625e-09,3.85237455625e-09,0.0,0.000103837,1.0782122569e-08,0.0,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.0,-1.0397500000000003e-05,1.0810800625000005e-10,0.0,0.00574205,-0.01634365,3.29711382025e-05,0.0002671148953225,0.00761375,-0.03320575,5.79691890625e-05,0.0011026218330625,0.0,6.5583e-05,4.301129889e-09,0.0,-0.0,6.20675e-05,3.85237455625e-09,0.0,0.0,0.0,0.0,0.0,1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,-0.0067403,-0.0067403,4.543164409e-05,4.543164409e-05,-0.0291618,-0.03490385,0.0008504105792399,0.0012182787448225,0.00201365,-0.0056001,4.0547863225e-06,3.1361120010000005e-05,-0.000200543,-0.000200543,4.0217494849000003e-08,4.0217494849000003e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
