,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.0,0.0,0.0,0.0,-0.0431323,0.0,0.0,0.00186039530329,-2.25063e-05,0.0,0.0,5.065335396900001e-10,-5.35609e-05,0.0,2.86877000881e-09,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0021435,0.0021435,4.59459225e-06,4.59459225e-06,-0.00777044,0.03536186,0.0012504611426596,6.03797377936e-05,-0.0142814,-0.0142588937,0.0002033160495478,0.00020395838596,0.0,5.35609e-05,0.0,2.86877000881e-09,0.000130194,0.000130194,1.6950477636000002e-08,1.6950477636000002e-08,0.0,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.00455759,0.00241409,5.827830528100002e-06,2.0771626608100007e-05,0.0183393,0.02610974,0.0006817185228676,0.00033632992449,-0.0181128,-0.0038313999999999,1.4679625959999993e-05,0.0003280735238399,0.0,0.0,0.0,0.0,0.000149214,1.901999999999999e-05,3.6176039999999966e-10,2.2264817796e-08,0.0,0.0,0.0,0.0,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.00361306,-0.00094453,8.921369209000006e-07,1.30542025636e-05,-0.0134908999999999,-0.0318302,0.0010131616320399,0.00018200438281,0.0139597999999999,0.0320725999999999,0.0010286516707599,0.0001948760160399,0.0001461279999999,0.0001461279999999,2.1353392384e-08,2.1353392384e-08,-0.000152798,-0.000302012,9.1211248144e-08,2.3347228804e-08,0.0,0.0,0.0,0.0,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-4.3209500000000005e-06,-0.0036173809499999,1.3085444937422903e-05,1.867060890250001e-11,-0.0292272,-0.0157363,0.00024763113769,0.0008542292198399,0.00639926,-0.0075605399999999,5.716176509159996e-05,4.0950528547600014e-05,-0.000277008,-0.000423136,7.673343206399999e-08,1.7904407449599994e-07,-0.000108088,4.470999999999996e-05,1.998984099999996e-09,1.1683015744000011e-08,0.0,0.0,0.0,0.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.0,4.3209500000000005e-06,1.867060890250001e-11,0.0,0.0123789,0.0416061,0.00173106755721,0.00015323716521,-0.00623414,-0.0126334,0.00015960279556,3.88645015396e-05,-0.000194147,8.286099999999996e-05,3.7693057609000014e-08,6.865945320999993e-09,-0.0,0.000108088,1.1683015744000011e-08,0.0,0.0,0.0,0.0,0.0,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-8.750829999999996e-06,-8.750829999999996e-06,7.657702568889994e-11,7.657702568889994e-11,0.0417094,0.0293304999999999,0.0008602782302499,0.00173967404836,-0.0088828399999999,-0.0026486999999999,7.015611689999988e-06,7.890484646559995e-05,0.000143129,0.0003372759999999,2.0485910641e-08,1.13755100176e-07,7.93356e-05,7.93356e-05,6.2941374273599996e-09,6.2941374273599996e-09,0.0,0.0,0.0,0.0,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.0,8.750829999999996e-06,7.657702568889994e-11,0.0,-0.0001614479999999,-0.0418708479999999,0.0017531679122391,2.6065456703999988e-08,-0.00662744,0.0022553999999999,5.08682915999999e-06,4.39229609536e-05,-0.000217281,-0.00036041,4.7211032961e-08,1.2989536810000002e-07,-0.0,-7.93356e-05,6.2941374273599996e-09,0.0,0.0,0.0,0.0,0.0,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.0,0.0,0.0,0.0,-0.0251517,-0.024990252,0.0006245126950235,0.0006326080128899,-0.00463804,0.0019894,3.957712359999999e-06,2.1511415041600007e-05,-0.000130521,8.675999999999999e-05,1.7035731441000003e-08,7.527297599999997e-09,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.00276968,0.00276968,7.6711273024e-06,7.6711273024e-06,0.0112244,0.0363760999999999,0.00132322065121,0.00012598715536,0.00638149,0.01101953,0.0001214300414209,4.07234146201e-05,0.000252378,0.000382899,6.3694654884e-08,1.46611644201e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
