,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.000221665,0.0,4.913537222500001e-08,0.0,0.0449792,0.0,0.0,0.00202312843264,-0.0223983,0.0,0.0,0.0005016838428899,0.000275345,0.0,7.5814869025e-08,0.0,-0.000257223,0.0,0.0,6.6163671729e-08,6.05334e-05,0.0,3.6642925155599997e-09,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,6.82881e-05,-0.0001533769,4.663264601610001e-09,2.352447345361001e-08,0.00701522,-0.03796398,0.0014412637774403,4.92133116484e-05,-0.0451376,-0.0227393,0.00051707576449,0.0020374029337599,0.00018833,-8.701499999999998e-05,3.5468188900000006e-08,7.571610224999994e-09,-0.000218415,3.880800000000001e-05,1.506060864000001e-09,4.7705112225e-08,0.0,-6.05334e-05,0.0,3.6642925155599997e-09,1
2,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,1.45772e-05,-5.37109e-05,2.1249475984e-10,2.8848607788100003e-09,-0.0234628,-0.03047802,0.0009289097031204,0.0005505029838399,-0.0618389,-0.0167013,0.00027893342169,0.00382404955321,0.0,-0.00018833,0.0,3.5468188900000006e-08,-0.000299337,-8.092200000000001e-05,6.548370084000001e-09,8.960263956899999e-08,0.0,0.0,0.0,0.0,1
3,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,4.68178e-05,3.22406e-05,2.1919063968400003e-09,1.03945628836e-09,-0.0234961,-3.33e-05,1.1088899999999995e-09,0.00055206671521,-0.0622279,-0.000389,1.5132100000000038e-07,0.00387231153841,-0.000154654,-0.000154654,2.3917859716e-08,2.3917859716e-08,-0.000217117,8.221999999999998e-05,6.760128399999997e-09,4.713979168900001e-08,0.0,0.0,0.0,0.0,1
4,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,4.98934e-05,3.075600000000001e-06,2.48935136356e-09,9.459315360000007e-12,0.0172229,0.040719,0.001658036961,0.00029662828441,-0.0136072,0.0486207,0.00236397246849,0.00018515589184,-0.00042873,-0.000274076,1.838094129e-07,7.511765377599999e-08,-0.000221127,-4.009999999999984e-06,1.6080099999999865e-11,4.8897150129e-08,5.94155e-05,5.94155e-05,3.53020164025e-09,3.53020164025e-09,1
5,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.00567254,-0.0057224334,3.21777100516e-05,3.274624401743556e-05,0.0217086,0.0044856999999999,2.012150448999996e-05,0.0004712633139599,-0.0007968749999999,0.012810325,0.0001641044266056,6.350097656249996e-07,-0.000299962,0.0001287679999999,8.997720144400003e-08,1.6581197823999992e-08,-0.000168415,5.271200000000001e-05,2.7785549440000004e-09,2.8363612225e-08,0.000171675,0.0001122595,2.9472305625000004e-08,1.2602195340250002e-08,1
6,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.00281729,0.00285525,7.9371229441e-06,8.1524525625e-06,0.00121033,-0.02049827,0.0004201790729929,1.4648987088999995e-06,-0.0256528,-0.024855925,0.0006178170076056,0.00065806614784,-0.000286997,1.2965000000000034e-05,8.236727800899999e-08,1.6809122500000092e-10,-0.000148727,1.9687999999999995e-05,3.8761734399999966e-10,2.2119720529e-08,0.000132641,-3.903400000000002e-05,1.7593634881000002e-08,1.5236531560000015e-09,1
7,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.000246292,0.003063582,6.0659749264e-08,9.385534670724e-06,-0.0195232,-0.02073353,0.0004298792662609,0.0003811553382399,-0.0353575,-0.0097046999999999,9.418120208999994e-05,0.00125015280625,-0.000152283,0.000134714,2.3190112089e-08,1.8147861796e-08,-0.000100356,4.8370999999999954e-05,2.339753640999997e-09,1.0071326736000008e-08,9.88715e-05,-3.37695e-05,9.775573512249998e-09,1.14037913025e-09,1
8,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-3.89786e-06,-0.00025018986,1.51933125796e-11,6.259496604681962e-08,-0.0369906,-0.0174673999999999,0.0003051100627599,0.00136830448836,-0.0526366,-0.0172791,0.0002985672968099,0.00277061165956,-0.000404435,-0.000252152,1.6356766922500002e-07,6.358063110400003e-08,-0.000129223,-2.886699999999997e-05,8.33303688999998e-10,1.6698583729e-08,0.000135781,3.69095e-05,1.8436479961e-08,1.36231119025e-09,1
9,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.0,3.89786e-06,0.0,1.51933125796e-11,-0.0140826,0.022908,0.0005247764639999,0.00019831962276,-0.0180232,0.0346134,0.0011980874595599,0.00032483573824,-0.000248502,0.000155933,6.1753244004e-08,2.4315100489000007e-08,-0.0,0.000129223,1.6698583729e-08,0.0,0.0,-0.000135781,0.0,1.8436479961e-08,1
