,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.00558644,0.0,0.0,3.12083118736e-05,-0.0401876,0.0,0.0016150431937599,0.0,0.0802502,0.0,0.0,0.0064400946000399,0.000829796,0.0,0.0,6.885614016160001e-07,0.000198352,0.0,3.9343515904e-08,0.0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.00418369,-0.0014027499999999,1.9677075624999984e-06,1.7503262016100008e-05,-0.0353119,0.0048756999999999,0.00124693028161,2.377245048999997e-05,0.0318532,-0.048397,0.0023422696089999,0.0010146263502399,0.000715137,-0.000114659,1.3146686281000008e-08,5.114209287689999e-07,0.000337556,0.0001392039999999,1.13944053136e-07,1.9377753616e-08,0.000124637,0.000124637,1.5534381768999998e-08,1.5534381768999998e-08,1
2,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.00655841,0.0023747199999999,5.639295078399997e-06,4.30127417281e-05,-0.0402177,-0.0049057999999999,0.0016174633932899,2.4066873639999956e-05,0.0155882999999999,-0.0162649,0.0002645469720099,0.0002429950968899,0.000559354,-0.000155783,2.426834308900001e-08,3.12876897316e-07,-0.0,-0.000337556,0.0,1.13944053136e-07,0.000145361,2.0723999999999987e-05,2.1129820321e-08,4.2948417599999936e-10,1
3,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0153147,0.00875629,7.667261456410006e-05,0.00023454003609,-0.0402254,-7.700000000006313e-06,0.00161808280516,5.929000000009722e-11,0.048419,0.0328307,0.0010778548624899,0.0023443995609999,0.000265095,-0.0002942589999999,8.658835908099997e-08,7.027535902500001e-08,-8.138229999999998e-05,-8.138229999999998e-05,6.623078753289997e-09,6.623078753289997e-09,7.22283e-05,-7.31327e-05,5.216927320889999e-09,5.34839180929e-09,1
4,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.0131833,-0.0021314,4.542865960000008e-06,0.0001737993988899,-0.0377366,0.0024888,0.0014240509795599,6.194125440000031e-06,0.0870633999999999,0.0386443999999999,0.0014933896513599,0.0075800356195599,0.000265095,0.0,0.0,7.027535902500001e-08,6.058939999999999e-05,0.0001419716999999,3.671075392359999e-09,2.015596360089e-08,0.0,-7.22283e-05,0.0,5.216927320889999e-09,1
5,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.0105649,-0.0026184,6.85601856e-06,0.00011161711201,-0.0402052,-0.0024686,0.0016164581070399,6.093985960000006e-06,0.0417061,-0.0453572999999999,0.0020572846632899,0.0017393987772099,0.000475768,0.000210673,4.438311292899999e-08,2.2635518982400002e-07,0.000113772,5.318260000000002e-05,1.2944067984e-08,2.8283889427600013e-09,0.000114933,0.000114933,1.3209594489e-08,1.3209594489e-08,1
6,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.0,-0.0105649,0.00011161711201,0.0,-0.0362542,0.0039509999999999,0.00131436701764,1.561040099999997e-05,0.0241609,-0.0175451999999999,0.0003078340430399,0.00058374908881,0.000265095,-0.000210673,4.438311292899999e-08,7.027535902500001e-08,-0.0,-0.000113772,0.0,1.2944067984e-08,0.0,-0.000114933,0.0,1.3209594489e-08,1
7,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.00310189,0.00310189,9.6217215721e-06,9.6217215721e-06,-0.0316498,0.0046044,0.00100170984004,2.1200499360000013e-05,0.0637028999999999,0.039542,0.0015635697639999,0.0040580594684099,-0.000219559,-0.000484654,2.348894997160001e-07,4.8206154481e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.0121044,0.00900251,8.10451863001e-05,0.0001465164993599,-0.020791,0.0108587999999999,0.0004322656809999,0.0001179135374399,0.0869589999999999,0.0232560999999999,0.0005408461872099,0.0075618676809999,-0.000494575,-0.000275016,7.5633800256e-08,2.44604430625e-07,1.3234899999999996e-23,1.3234899999999996e-23,1.751625780099999e-46,1.751625780099999e-46,-0.000180912,-0.000180912,3.2729151744000005e-08,3.2729151744000005e-08,1
9,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-7.95836e-10,-0.012104400795836,0.0001465165186262,6.33354938896e-19,-0.0151382,0.0056528,0.00022916509924,3.1954147839999994e-05,0.0434074,-0.0435515999999999,0.0018967418625599,0.00188420237476,-0.00055408,-5.950499999999995e-05,3.540845024999995e-09,3.070046464e-07,-0.0,-1.3234899999999996e-23,0.0,1.751625780099999e-46,0.0,0.000180912,0.0,3.2729151744000005e-08,1
10,0.0,0.0,0.0,0.0,0.0,0.6891715524351768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575525323,0.0572932637,0.0568620142,0.0562600783,0.0554892628,1.98037e-06,1.9811658360000004e-06,3.925018069733581e-12,3.9218653369000015e-12,-0.0206261,-0.0054878999999999,0.00042543600121,3.0117046409999968e-05,0.0180873,-0.0253201,0.0006411074640099,0.00032715042129,-0.00021544,0.00033864,1.1467704959999999e-07,4.6414393600000014e-08,-0.0,0.0,0.0,0.0,6.66167e-05,6.66167e-05,4.437784718889998e-09,4.437784718889998e-09,1
11,0.0,0.0,0.0,0.0,0.0,0.8084109164097283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575352749,0.0572243478,0.05670738,0.0559862329999999,0.0550635032,0.00250206,0.00250007963,6.250398156340937e-06,6.2603042436e-06,-0.0237196,-0.0030935,0.00056261942416,9.569742250000017e-06,0.0120682,-0.0060191,3.6229564810000014e-05,0.00014564145124,-0.000177236,3.820400000000001e-05,1.4595456160000012e-09,3.1412599696e-08,-0.0,0.0,0.0,0.0,0.0,-6.66167e-05,0.0,4.437784718889998e-09,1
