,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.0571854,0.0,0.0,0.00327016997316,-0.106674,0.0,0.011379342276,0.0,0.0463703,0.0,0.00215020472209,0.0,-0.00113605,0.0,1.2906096025000005e-06,0.0,-0.00022367,0.0,5.00282689e-08,0.0,-0.000971292,0.0,0.0,9.43408149264e-07,1
1,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0569739,-0.0002115,4.4732250000001416e-08,0.0032460252812099,-0.11458,-0.0079059999999999,0.0131285764,6.250483599999994e-05,0.046644,0.0002736999999999,0.002175662736,7.491168999999714e-08,-0.0006732839999999,0.000462766,4.5331134465600005e-07,2.141523707560003e-07,-0.000281697,-5.8027000000000026e-05,7.935319980900003e-08,3.367132729000002e-09,-0.00093954,3.17519999999998e-05,1.0081895039999872e-09,8.827354116000004e-07,1
2,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.0542138,-0.0027600999999999,7.61815200999997e-06,0.00293913611044,-0.10261,0.01197,0.0105288120999999,0.0001432809,0.0363162,-0.0103277999999999,0.00131886638244,0.0001066634528399,0.00170381,0.002377094,2.9029685161e-06,5.650575884835999e-06,-0.000413958,-0.000132261,1.7136122576400005e-07,1.7492972121e-08,-0.000867696,7.184400000000016e-05,5.161560336000023e-09,7.528963484160001e-07,1
3,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0442704,-0.0099434,9.88712035600001e-05,0.00195986831616,-0.0752561,0.0273538999999999,0.00566348058721,0.0007482358452099,0.0596445,0.0233283,0.00355746638025,0.00054420958089,0.00266453,0.00096072,7.0997201209e-06,9.229829184e-07,-0.000413957,1.0000000000699551e-09,1.7136039784899997e-07,1.0000000001399106e-18,-0.0007593669999999,0.000108329,1.1735172241000023e-08,5.766382406889999e-07,1
4,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.0265011,-0.0177693,0.00031574802249,0.0007023083012099,-0.0401793,0.0350768,0.00161437614849,0.00123038189824,0.0818220999999999,0.0221775999999999,0.0066948560484099,0.0004918459417599,0.0011185,-0.00154603,1.2510422500000003e-06,2.3902087609e-06,-0.000332209,8.174799999999991e-05,1.1036281968100002e-07,6.6827355039999884e-09,-0.000551346,0.000208021,4.3272736440999976e-08,3.03982411716e-07,1
5,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.00565336,-0.02084774,0.0004346282631075,3.19604792896e-05,-0.00984693,0.03033237,9.69620304249e-05,0.0009200526698169,0.0868536999999999,0.0050316,0.0075435652036899,2.5316998560000108e-05,0.000177811,-0.000940689,3.1616751721e-08,8.848957947210005e-07,-0.000228772,0.000103437,5.2336627984e-08,1.0699212969000007e-08,-0.000530713,2.0632999999999936e-05,4.2572068899999735e-10,2.816562883690001e-07,1
6,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0105944,-0.01624776,0.0002639897050176,0.00011224131136,0.0136886,0.02353553,0.00018737776996,0.0005539211723809,0.0177118,-0.0691418999999999,0.00031370785924,0.0047806023356099,-0.00154082,-0.001718631,2.3741262724e-06,2.953692514161e-06,-0.000182225,4.6547e-05,3.3205950625e-08,2.166623209e-09,-0.000274597,0.0002561159999999,6.5595405456e-08,7.5403512409e-08,1
7,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.00741113,0.00318327,1.01332078929e-05,5.49248478769e-05,0.0148371,0.0011485,0.00022013953641,1.3190522500000004e-06,0.0497469,0.0320351,0.00247475405961,0.0010262476320099,5.20355e-05,0.0015928555,2.70769326025e-09,2.5371886438802502e-06,-4.533850000000001e-05,0.0001368865,2.055579582250001e-09,1.873791388225e-08,-0.000365382,-9.078499999999997e-05,8.241916224999994e-09,1.33504005924e-07,1
8,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.0007928999999999,0.00661823,4.38009683329e-05,6.286904099999998e-07,-0.0108453,-0.0256824,0.0001176205320899,0.00065958566976,0.0322830999999999,-0.0174638,0.0010421985456099,0.00030498431044,-0.000552543,-0.0006045785,3.0530376684900015e-07,3.655151626622501e-07,-0.000231834,-0.0001864955,5.3747003556000006e-08,3.4780571520250016e-08,-0.000447354,-8.197200000000002e-05,6.719408784000006e-09,2.00125601316e-07,1
9,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.00587212,0.00666502,4.44224916004e-05,3.44817932944e-05,-0.0256625,-0.0148172,0.00065856390625,0.00021954941584,0.0427875,0.0105044,0.00183077015625,0.00011034241936,8.423420000000001e-05,0.0006367772,7.095400449640001e-09,4.054852024398402e-07,-0.000262257,-3.0422999999999983e-05,6.877873404900002e-08,9.255589289999993e-10,-0.000441435,5.919000000000008e-06,3.503456100000011e-11,1.94864859225e-07,1
