,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-5.404390000000001e-05,0.0,0.0,2.92074312721e-09,-0.0257195,0.0,0.0,0.00066149268025,-0.0386198,0.0,0.00149148895204,0.0,0.000824188,0.0,6.792858593439999e-07,0.0,0.000109353,0.0,0.0,1.1958078609e-08,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0061834,-0.0061293561,3.7569006200607206e-05,3.823443556e-05,-0.00957424,0.01614526,0.0002606694204676,9.16660715776e-05,0.0237949,0.0624147,0.00056619726601,0.00389559477609,0.000778885,-4.530300000000001e-05,6.06661843225e-07,2.052361809000001e-09,0.000247056,0.000137703,1.8962116209e-08,6.1036667136e-08,0.0,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.0050833,0.0011000999999999,1.2102200099999994e-06,2.583993889e-05,-0.0076914699999999,0.00188277,3.5448228729000025e-06,5.915871076089998e-05,0.0376239,0.013829,0.0014155578512099,0.000191241241,0.000872177,9.329200000000004e-05,7.60692719329e-07,8.703397264000006e-09,0.000149359,-9.7697e-05,9.544703809e-09,2.2308110881e-08,0.0,0.0,0.0,0.0,1
3,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,5.82388e-09,0.00508330582388,2.583999809909232e-05,3.391757825440001e-17,-0.0258401,-0.01814863,0.0003293727708769,0.00066771076801,0.000988342,-0.036635558,9.76819908964e-07,0.0013421641099713,0.000881296,9.119000000000032e-06,7.766826396160002e-07,8.31561610000006e-11,-0.0,-0.000149359,2.2308110881e-08,0.0,0.0,0.0,0.0,0.0,1
4,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-5.28817e-09,-1.111205e-08,1.234776552025e-16,2.79647419489e-17,-0.0337128,-0.0078727,6.197940528999999e-05,0.0011365528838399,-0.0175236,-0.018511942,0.0003070765569599,0.0003426919966113,0.000902391,2.109500000000005e-05,8.143095168810001e-07,4.449990250000024e-10,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-1.50919e-09,3.77898e-09,1.4280689840399998e-17,2.2776544561e-18,-0.0286579,0.0050549,2.555201401000001e-05,0.00082127523241,0.0211106,0.0386342,0.00044565743236,0.00149260140964,0.00098219,7.979899999999986e-05,9.646971961e-07,6.367880400999978e-09,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.000245853,-0.00024585149081,6.044295553349951e-08,6.044369760900002e-08,-0.0021513,0.0265066,0.0007025998435599,4.628091690000002e-06,0.042605,0.0214944,0.001815186025,0.00046200923136,0.000631133,-0.000351057,3.98328863689e-07,1.23241017249e-07,-0.0,0.0,0.0,0.0,-0.000250268,-0.000250268,6.2634071824e-08,6.2634071824e-08,1
7,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.000246126,-2.730000000000159e-07,7.452900000000867e-14,6.057800787599999e-08,-0.0231208,-0.0209695,0.00043971993025,0.00053457139264,0.014733,-0.027872,0.000217061289,0.000776848384,0.000722161,9.102800000000004e-05,5.215165099210001e-07,8.286096784000009e-09,7.20798e-05,7.20798e-05,5.1954975680399995e-09,5.1954975680399995e-09,-0.000198111,5.2157000000000016e-05,3.9247968320999995e-08,2.720352649000002e-09,1
8,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,7.23342e-09,0.00024613323342,6.05815685937842e-08,5.2322364896400005e-17,-0.028788,-0.0056672,3.2117155840000014e-05,0.000828748944,-0.000570027,-0.015303027,3.24930780729e-07,0.0002341826353627,0.000752301,3.0140000000000013e-05,5.659567946010001e-07,9.084196000000003e-10,-0.0,-7.20798e-05,5.1954975680399995e-09,0.0,0.0,0.000198111,0.0,3.9247968320999995e-08,1
9,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.000282905,-0.00028291223342,8.003933181869259e-08,8.003523902500001e-08,-0.0162955,0.0124925,0.00015606255625,0.00026554332025,0.022359,0.022929027,0.000499924881,0.0005257402791667,0.000813068,6.0766999999999976e-05,6.61079572624e-07,3.6926282889999973e-09,0.00017377,0.00017377,3.0196012900000014e-08,3.0196012900000014e-08,-0.000111781,-0.000111781,1.2494991961000002e-08,1.2494991961000002e-08,1
