,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.00510851,0.0,0.0,2.60968744201e-05,0.0036679,0.0,1.3453490410000005e-05,0.0,0.0376456,0.0,0.0,0.0014171911993599,0.000329416,0.0,0.0,1.0851490105599997e-07,0.000347575,0.0,0.0,1.20808380625e-07,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0063155,-0.0012069899999999,1.4568248600999996e-06,3.988554025e-05,-0.0106222,-0.0142901,0.00011283113284,0.0002042069580099,0.0344978,-0.0031477999999999,9.908644839999952e-06,0.0011900982048399,8.453309999999999e-05,-0.0002448829,5.996763471240997e-08,7.145844995609999e-09,-0.0,-0.000347575,1.20808380625e-07,0.0,0.0,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.0,0.0063155,3.988554025e-05,0.0,-0.024708,-0.0140858,0.000610485264,0.00019840976164,0.0261037,-0.0083940999999999,7.046091480999998e-05,0.00068140315369,1.83044e-05,-6.622869999999997e-05,4.3862407036899975e-09,3.350510593600001e-10,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,4.81726e-05,4.81726e-05,2.32059939076e-09,2.32059939076e-09,-0.00695408,0.01775392,4.835922864639999e-05,0.0003152016753664,0.0612918,0.0351881,0.0012382023816099,0.0037566847472399,1.83044e-05,0.0,0.0,3.350510593600001e-10,9.26618e-05,9.26618e-05,8.58620917924e-09,8.58620917924e-09,0.0,0.0,0.0,0.0,1
4,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,8.465829999999998e-05,3.648569999999998e-05,1.3312063044899987e-09,7.167027758889997e-09,0.0072322999999999,0.0141863799999999,5.230616328999998e-05,0.0002012533775043,0.0649457,0.0036538999999999,1.335098520999996e-05,0.0042179439484899,0.000303749,0.0002854446,8.147861966916003e-08,9.2263455001e-08,0.000350677,0.0002580152,6.657184343103996e-08,1.22974358329e-07,0.0,0.0,0.0,0.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.00554334,-0.0056279982999999,3.167436486480289e-05,3.07286183556e-05,-0.0183357,-0.025568,0.00033619789449,0.000653722624,0.0310781,-0.0338676,0.00114701432976,0.00096584829961,0.00016981,-0.000133939,1.7939655721000006e-08,2.88354361e-08,-0.0,-0.000350677,1.22974358329e-07,0.0,0.0,0.0,0.0,0.0,1
6,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.00877781,-0.00323447,1.0461796180900004e-05,7.70499483961e-05,-0.0312366,-0.0129008999999999,0.00097572517956,0.00016643322081,0.0243786,-0.0066995,4.488330025000006e-05,0.0005943161379599,2.56272e-05,-0.0001441828,2.078867981584e-08,6.567533798399998e-10,-0.0,0.0,0.0,0.0,0.000144583,0.000144583,2.0904243889e-08,2.0904243889e-08,1
7,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-1.43272e-05,0.0087634828,7.679863078589584e-05,2.0526865984e-10,-0.0247524,0.0064841999999999,0.00061268130576,4.204484963999999e-05,0.0289653,0.0045867,2.1037816890000056e-05,0.00083898860409,3.09514e-05,5.324199999999998e-06,2.834710563999999e-11,9.579891619599998e-10,0.00010579,0.00010579,1.11915241e-08,1.11915241e-08,8.871989999999997e-05,-5.586310000000002e-05,3.120685941610003e-09,7.871220656009995e-09,1
8,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.00222366,0.0022379872,5.00858670736384e-06,4.9446637956e-06,0.00542241,0.03017481,2.94025302081e-05,0.0009105191585361,0.0772217,0.0482564,0.00232868014096,0.00596319095089,0.000264597,0.0002336456,5.4590266399359994e-08,7.0011572409e-08,0.000163098,5.7308e-05,3.284206864e-09,2.6600957604e-08,-0.000155571,-0.0002442909,5.967804382281e-08,2.4202336041e-08,1
9,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-4.72629e-05,-0.0022709229,5.157090817744412e-06,2.23378171641e-09,0.0233892,0.01796679,0.0005470546766399,0.0003228055429041,0.0602035,-0.0170182,0.00028961913124,0.00362446141225,0.000515653,0.000251056,6.302911513600004e-08,2.65898016409e-07,0.000176296,1.3197999999999991e-05,1.7418720399999978e-10,3.1080279616e-08,0.0,0.000155571,2.4202336041e-08,0.0,1
