,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388456,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.117868,0.0,0.0,0.013892865424,0.0118203,0.0,0.0,0.00013971949209,-0.183201,0.0,0.033562606401,0.0,0.0007581559999999,0.0,0.0,5.748005203358483e-07,-0.00163226,0.0,0.0,2.6642727076e-06,-0.000751661,0.0,5.64994258921e-07,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0914836,-0.0263844,0.00069613656336,0.00836924906896,-0.00776973,-0.01959003,0.0003837692754009,6.03687042729e-05,-0.135714,0.047487,0.018418289796,0.002255015169,0.00102491,0.0002667540000001,7.115769651605334e-08,1.0504405081e-06,-0.000369626,0.001262634,1.5942446179559998e-06,1.36623379876e-07,-0.00044673,0.000304931,1.995676929e-07,9.298291476100005e-08,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164505,0.0654916,-0.025992,0.000675584064,0.00428914967056,-0.022318,-0.01454827,0.0002116521599929,0.000498093124,-0.0811927999999999,0.0545212000000001,0.0065922707718399,0.00297256124944,0.00160484,0.00057993,3.363188049e-07,2.5755114256e-06,-0.000370491,-8.649999999999587e-07,7.482249999999285e-13,1.3726358108099998e-07,-0.000376508,7.022199999999999e-05,1.4175827406400004e-07,4.931129283999999e-09,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0578096,-0.0076819999999999,5.901312399999992e-05,0.00334194985216,-0.00978151,0.01253649,0.0001571635815201,9.56779378801e-05,-0.0915904,-0.0103976000000001,0.00838880137216,0.00010811008576,0.000970156,-0.0006346839999999,4.028237798559999e-07,9.41202664336e-07,-0.000303687,6.680399999999995e-05,4.462774415999993e-09,9.222579396900001e-08,-0.000190041,0.000186467,3.6115581681000003e-08,3.4769942089e-08,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.0465061,-0.0113035,0.00012776911225,0.00216281733721,-0.00424304,0.00553847,3.06746499409e-05,1.80033884416e-05,-0.101703,-0.0101126,0.010343500209,0.0001022646787599,0.000477717,-0.000492439,2.42496168721e-07,2.28213532089e-07,7.03044e-06,0.00031071744,9.654532752015365e-08,4.9427086593599996e-11,-3.01842e-06,0.00018702258,9.1108592964e-12,3.49774454298564e-08,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.0428955,-0.0036105999999999,1.3036432359999987e-05,0.00184002392025,-0.0117584,-0.00751536,5.648063592960001e-05,0.00013825997056,-0.135686,-0.033983,0.018410690596,0.0011548442889999,0.000401819,-7.589800000000002e-05,5.760506404000004e-09,1.6145850876099997e-07,4.29173e-05,3.588686e-05,1.2878667206596e-09,1.8418946392899998e-09,-0.000291241,-0.00028822258,8.482132008100001e-08,8.307225562185644e-08,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.0442192,0.0013236999999999,1.7521816899999924e-06,0.00195533764864,-0.0252926,-0.0135341999999999,0.0001831745696399,0.00063971561476,-0.13502,0.0006659999999999,0.0182304004,4.435559999999999e-07,0.0002206,-0.000181219,3.2840325960999995e-08,4.866436e-08,-0.000331931,-0.0003748483,1.4051124801289e-07,1.10178188761e-07,-0.000194302,9.6939e-05,3.7753267204000014e-08,9.397169721000002e-09,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.0426158,-0.0016033999999999,2.5708915599999933e-06,0.00181610640964,-0.0266383,-0.0013457,1.8109084900000049e-06,0.00070959902689,-0.136532,-0.0015119999999999,0.0186409870239999,2.2861439999999563e-06,5.50925e-05,-0.0001655075,2.739273255625e-08,3.0351835562500003e-09,-0.000128596,0.000203335,4.1345122225e-08,1.6536931216e-08,-0.000238436,-4.413399999999998e-05,5.6851726096e-08,1.947809955999998e-09,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294377,0.0567341187,0.0562271859,0.0396149,-0.0030009,9.005400810000005e-06,0.00156934030201,-0.0170992,0.0095391,9.099442881000004e-05,0.0002923826406399,-0.0988202,0.0377117999999999,0.0097654319280399,0.0014221798592399,-6.93828e-05,-0.0001244753,1.549410031009e-08,4.8139729358399994e-09,-0.000113233,1.5362999999999995e-05,2.3602176899999985e-10,1.2821712289000002e-08,-0.000286726,-4.8290000000000014e-05,8.2211799076e-08,2.331924100000001e-09,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559385,0.0570027116,0.0565094097,0.0558772451,0.032973,-0.0066418999999999,4.411483560999999e-05,0.001087218729,0.00613611,0.02323531,0.0005398796307961,3.76518459321e-05,-0.0701797,0.0286405,0.00492519029209,0.0008202782402499,-0.000509298,-0.0004399152,1.935253831910401e-07,2.593844528040001e-07,2.7221e-05,0.000140454,1.9727326116e-08,7.409828409999997e-10,-0.000227135,5.9591000000000006e-05,5.1590308225e-08,3.551087281000001e-09,1
