,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.00857511,0.0,7.353251151210001e-05,0.0,0.0324214,0.0,0.0,0.00105114717796,-0.0151239,0.0,0.0,0.00022873235121,-0.000236014,0.0,0.0,5.5702608196e-08,-0.0001549229999999,0.0,0.0,2.4001135928999992e-08,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0,0.00857511,0.0,7.353251151210001e-05,0.00782188,-0.02459952,0.0006051363842304,6.11818067344e-05,-0.0407306,-0.0256067,0.0006557030848899,0.00165898177636,-0.000383958,-0.000147944,2.188742713600001e-08,1.474237457640001e-07,-0.0,0.0001549229999999,2.4001135928999992e-08,0.0,0.0,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.00755279,-0.00755279,5.70446367841e-05,5.70446367841e-05,0.0374677,0.02964582,0.0008788746434724,0.00140382854329,-0.00317373,0.03755687,0.0014105184841969,1.00725621129e-05,-0.00032046,6.349800000000005e-05,4.031996004000006e-09,1.026946116e-07,-0.0001798329999999,-0.0001798329999999,3.2339907888999986e-08,3.2339907888999986e-08,6.4966e-05,6.4966e-05,4.220581156e-09,4.220581156e-09,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0122223,-0.00466951,0.0001493846172899,2.18043236401e-05,0.0579047,0.020437,0.000417670969,0.00335295428209,0.0154905,0.01866423,0.0003483534814929,0.00023995559025,-0.000510932,-0.000190472,3.6279582783999995e-08,2.61051508624e-07,-0.0,0.0001798329999999,3.2339907888999986e-08,0.0,0.0,-6.4966e-05,0.0,4.220581156e-09,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.00355978,0.00866252,1.2672033648399996e-05,7.50392527504e-05,0.0300706,-0.0278341,0.00077473712281,0.0009042409843599,0.0013125,-0.014178,0.000201015684,1.7226562500000004e-06,-0.00030601,0.000204922,4.199302608399999e-08,9.36421201e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,7.24696e-06,0.00356702696,5.2518429241600006e-11,1.272368133336684e-05,0.0141004,-0.0159701999999999,0.0002550472880399,0.00019882128016,-0.0208726,-0.0221851,0.00049217866201,0.00043566543076,-0.000270568,3.5442000000000004e-05,1.2561353640000004e-09,7.3207042624e-08,-7.760569999999998e-05,-7.760569999999998e-05,6.022644672489997e-09,6.022644672489997e-09,0.0,0.0,0.0,0.0,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.0,-7.24696e-06,0.0,5.2518429241600006e-11,0.0145357,0.0004353,1.8948609000000118e-07,0.00021128657449,-0.033087,-0.0122143999999999,0.0001491915673599,0.0010947495689999,0.0,0.000270568,7.3207042624e-08,0.0,-0.0,7.760569999999998e-05,6.022644672489997e-09,0.0,0.0,0.0,0.0,0.0,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.00686727,-0.00686727,4.71593972529e-05,4.71593972529e-05,0.0415925,0.0270568,0.00073207042624,0.00172993605625,0.0129901,0.0460771,0.0021230991444099,0.00016874269801,-0.000230197,-0.000230197,5.2990658809000015e-08,5.2990658809000015e-08,-0.00017029,-0.00017029,2.89986841e-08,2.89986841e-08,8.303540000000001e-05,8.303540000000001e-05,6.894877653160002e-09,6.894877653160002e-09,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.00728753,-0.00042026,5.31080935009e-05,1.7661846760000037e-07,0.048205,0.0066124999999999,4.372515624999991e-05,0.002323722025,0.0170433,0.0040532,1.6428430239999998e-05,0.00029047407489,-0.000276455,-4.625799999999998e-05,2.139802563999998e-09,7.6427367025e-08,-5.23089e-05,0.0001179811,1.3919539957210002e-08,2.73622101921e-09,5.93415e-05,-2.369390000000001e-05,3.5214136222499992e-09,5.614008972100007e-10,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.0,0.00728753,0.0,5.31080935009e-05,0.0184763,-0.0297287,0.0008837956036899,0.00034137366169,-0.00300837,-0.02005167,0.0004020694697889,9.0502900569e-06,-0.000247947,2.850800000000001e-05,8.127060640000002e-10,6.1477714809e-08,-0.0,5.23089e-05,2.73622101921e-09,0.0,0.0,-5.93415e-05,0.0,3.5214136222499992e-09,1
