,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589765624,0.0589759022,0.0589748019,0.0589732614,0.0589712809,-1.94243e-05,0.0,3.7730343049e-10,0.0,0.0515591,0.0,0.00265834079281,0.0,0.017661,0.0,0.0,0.000311910921,0.00130183,0.0,0.0,1.6947613489e-06,-0.000535503,0.0,2.86763463009e-07,0.0,7.38991e-05,0.0,0.0,5.46107698081e-09,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.682678821680434e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589748019,0.0589688601999999,0.0589589579,0.0589450956,0.0589272743,-1.26804e-05,6.7439e-06,1.6079254415999998e-10,4.548018721e-11,0.0231522,-0.0284069,0.00053602436484,0.00080695196761,-0.017037,-0.034698,0.001203951204,0.000290259369,0.00116601,-0.0001358199999999,1.844707239999984e-08,1.3595793201000014e-06,-0.000535503,0.0,2.86763463009e-07,0.0,0.0,-7.38991e-05,5.46107698081e-09,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485742241653024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589712809,0.0589547771,0.0589272743,0.0588887775,0.058839294,0.017812,0.0178246804,0.000317267344,0.0003177192313621,-0.0069076,-0.0300598,4.7714937760000014e-05,0.0009035915760399,-0.0564406,-0.0394036,0.0015526436929599,0.0031855413283599,0.00107445,-9.156000000000053e-05,8.383233600000094e-09,1.1544428025e-06,0.000569329,0.001104832,3.2413551024100005e-07,1.220653748224e-06,-1.05879e-22,-1.05879e-22,1.1210362640999998e-44,1.1210362640999998e-44,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033816082095690014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589659995,0.0589336546,0.0588797595,0.058804334,0.0587074056,0.0169594999999999,-0.0008525,0.0002876246402499,7.267562500000103e-07,0.0102437,0.0171513,0.00010493338969,0.00029416709169,-0.0276315,0.0288090999999999,0.0008299642428099,0.00076349979225,0.000388908,-0.0006855419999999,4.6996783376400005e-07,1.5124943246400005e-07,0.000922808,0.000353479,8.51574604864e-07,1.2494740344099994e-07,0.0,1.05879e-22,1.1210362640999998e-44,0.0,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021844621214908686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589589579,0.0589054951,0.0588164263,0.0586918053,0.0585317075,0.00358928,-0.0133702199999999,1.2882930918399997e-05,0.0001787627828483,0.0852118,0.0749681,0.00726105085924,0.00562021601761,-0.0222345,0.0053969999999999,2.9127608999999983e-05,0.00049437299025,-8.35848e-06,-0.00039726648,1.5782065613159045e-07,6.986418791040001e-11,0.000617532,-0.000305276,3.81345771024e-07,9.319343617600005e-08,0.000163993,0.000163993,2.6893704049e-08,2.6893704049e-08,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07044757635532332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589501563,0.058870302,0.0587372916,0.0585512453,0.0583123309,0.00356563,-2.3649999999999623e-05,1.27137172969e-05,5.593224999999823e-10,0.0458539,-0.0393579,0.00210258014521,0.00154904429241,-0.0480386,-0.0258040999999999,0.0006658515768099,0.0023077070899599,-7.882779999999997e-05,-7.046931999999997e-05,4.965925061262396e-09,6.213822052839995e-09,0.000522319,-9.521299999999992e-05,2.7281713776100004e-07,9.065515368999985e-09,9.28969e-05,-7.109609999999999e-05,5.054655435209999e-09,8.629834029610002e-09,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156059043374215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058939595,0.0588280796,0.0586423769,0.058382721,0.0580494394,0.00356397,-1.6600000000001162e-06,1.27018821609e-05,2.755600000000386e-12,0.0144913,-0.0313626,0.00020999777569,0.0009836126787599,-0.0489791,-0.0009405,8.845402500000073e-07,0.00239895223681,8.34551e-05,0.0001622828999999,2.633573963240999e-08,6.96475371601e-09,0.000516629,-5.690000000000035e-06,2.669055236410001e-07,3.2376100000000394e-11,0.0,-9.28969e-05,8.629834029610002e-09,0.0,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2739603400029347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589272743,0.0587788329,0.0585317075,0.0581863129999999,0.0577432293,-0.000930753,-0.004494723,8.663011470089998e-07,2.0202534846729e-05,0.0144771,-1.41999999999972e-05,0.00020958642441,2.0163999999992048e-10,-0.0226218,0.0263572999999999,0.00069470726329,0.0005117458352399,0.000519868,0.0004364129,1.9045621928641005e-07,2.7026273742400004e-07,0.000392333,-0.0001242959999999,1.53925182889e-07,1.544949561599999e-08,0.0,0.0,0.0,0.0,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115508941663192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589131945,0.0587225677,0.0584053132,0.057962115,0.0573939288999999,0.0035609,0.004491653,1.2680008810000002e-05,2.0174946672409e-05,0.0807051,0.066228,0.00651331316601,0.004386147984,0.0100983,0.0327200999999999,0.0010706049440099,0.0001019756628899,8.34551e-05,-0.0004364129,1.9045621928641005e-07,6.96475371601e-09,9.94222e-05,-0.0002929108,9.884773852840001e-09,8.579673675664e-08,0.0,0.0,0.0,0.0,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541174284720488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588973561,0.0586592908,0.0582632279,0.0577102342,0.0570017991,0.00355906,-1.8399999999999144e-06,1.26669080836e-05,3.385599999999686e-12,0.0635123,-0.0171927999999999,0.00403381225129,0.0002955923718399,-0.00691487,-0.01701317,0.0002894479534489,4.78154271169e-05,-0.000205866,-0.0002893211,8.370669890521e-08,4.2380809956e-08,0.00010637,6.947800000000043e-06,1.1314576900000008e-08,4.827192484000058e-11,0.0,0.0,0.0,0.0,1
