,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.00409158,0.0,1.67410268964e-05,0.0,7.01201e-05,0.0,0.0,4.916828424010001e-09,0.0557751,0.0,0.00311086178001,0.0,0.000296916,0.0,0.0,8.815911105599999e-08,-0.000331003,0.0,1.09562986009e-07,0.0,8.93639e-05,0.0,0.0,7.98590662321e-09,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.00458266,0.0004910799999999,2.10007726756e-05,2.4115956639999965e-07,0.0186936,0.0186234799,0.0003468340035857,0.0003494506809599,0.0423283,-0.0134468,0.00179168498089,0.00018081643024,0.000673807,0.0003768909999999,1.42046825881e-07,4.54015873249e-07,-0.000308249,2.2753999999999996e-05,9.5017446001e-08,5.177445159999996e-10,0.0,-8.93639e-05,7.98590662321e-09,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.00244338,-0.0021392799999999,5.970105824400002e-06,4.576518918399998e-06,0.0130447,-0.0056488999999999,3.1910071209999964e-05,0.00017016419809,0.0141867,-0.0281416,0.00020126245689,0.0007919496505599,0.000523605,-0.000150202,2.2560640804e-08,2.74162196025e-07,-0.000296385,1.1864000000000048e-05,8.784406822499999e-08,1.4075449600000108e-10,0.0,0.0,0.0,0.0,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0001709969999999,-0.0022723829999999,2.9239974008999984e-08,5.163724498689001e-06,0.00477838,-0.00826632,6.83320463424e-05,2.28329154244e-05,0.0248955,0.0107088,0.00061978592025,0.0001146783974399,0.00042865,-9.495500000000004e-05,9.016452025000003e-09,1.837408225e-07,-0.000208559,8.782599999999998e-05,4.3496856481000003e-08,7.713406275999995e-09,9.439490000000004e-05,9.439490000000004e-05,8.910397146010008e-09,8.910397146010008e-09,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.00012491,-4.608699999999997e-05,1.5602508099999998e-08,2.124011568999997e-09,-0.00562104,-0.01039942,0.0001081479363364,3.15960906816e-05,0.0199845,-0.004911,0.00039938024025,2.4117921000000023e-05,0.000363454,-6.519599999999995e-05,4.250518415999993e-09,1.3209881011600002e-07,-9.54561e-05,0.0001131029,9.111867027210002e-09,1.279226598841e-08,9.36896e-05,-7.053000000000491e-07,4.974480900000692e-13,8.777741148159998e-09,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.00218759,0.00206268,4.7855500081e-06,4.2546487824e-06,0.00484422,0.01046526,0.0001095216668676,2.34664674084e-05,0.0465076,0.0265231,0.0021629568577599,0.0007034748336099,0.000798045,0.0004345909999999,1.88869337281e-07,6.36875822025e-07,-8.529610000000001e-05,1.0159999999999998e-05,7.275424675210002e-09,1.0322559999999996e-10,5.02195e-05,-4.34701e-05,1.88964959401e-09,2.52199818025e-09,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,5.82952e-05,-0.0021292948,3.39833034304e-09,4.5338963453070415e-06,0.0289504,0.02410618,0.0005811079141924,0.00083812566016,0.0312058,-0.0153017999999999,0.00097380195364,0.0002341450832399,0.000566138,-0.000231907,5.378085664900002e-08,3.20512235044e-07,-3.0958200000000005e-05,5.4337900000000014e-05,9.584101472400003e-10,2.952607376410001e-09,5.41492e-05,3.929700000000004e-06,1.544254209000003e-11,2.9321358606400003e-09,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,3.00184e-05,-2.8276800000000007e-05,9.0110433856e-10,7.995774182400001e-10,0.00209951,-0.02685089,0.0007209702937921,4.4079422401e-06,0.0133546,-0.0178511999999999,0.00017834534116,0.0003186653414399,0.000217244,-0.000348894,1.21727023236e-07,4.7194955536e-08,-9.17949e-05,-6.08367e-05,8.42630366601e-09,3.70110406689e-09,0.0,-5.41492e-05,2.9321358606400003e-09,0.0,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,4.171020000000001e-05,1.1691800000000004e-05,1.7397407840400004e-09,1.3669818724000012e-10,-0.0135786,-0.01567811,0.0002458031331721,0.00018437837796,0.0295993,0.0162447,0.00087611856049,0.00026389027809,0.000185989,-3.1255e-05,9.76875025e-10,3.4591908121000007e-08,-0.000142437,-5.06421e-05,2.0288298969e-08,2.56462229241e-09,0.0,0.0,0.0,0.0,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.00241522,0.0023735098,5.8332876484e-06,5.63354877069604e-06,0.00850066,0.02207926,0.0004874937221476,7.226122043560001e-05,0.0336222,0.0040228999999999,0.0011304523328399,1.6183724409999994e-05,0.000769114,0.000583125,3.40034765625e-07,5.91536344996e-07,-8.347629999999999e-05,5.896070000000001e-05,6.96829266169e-09,3.476364144490001e-09,0.0,0.0,0.0,0.0,1
